"SP","SN","division","mean_catches"
"SP1","Clupea harengus","north",2303174.429005
"SP2","Gadus morhua","north",1516384.06828833
"SP3","Scomber scombrus","north",1223353.83561833
"SP5","Mallotus villosus","north",936920.451071667
"SP6","Micromesistius poutassou","north",851247.717115
"SP8","Melanogrammus aeglefinus","north",466179.170656667
"SP9","Sprattus sprattus","north-east",399989.112096667
"SP10","Pollachius virens","north",431277.14207
"SP11","Engraulis encrasicolus","east",249790.714286667
"SP12","Katsuwonus pelamis","pan-atlantic",387406.631171667
"SP18","Thunnus albacares","pan-atlantic",144013.25045
"SP19","Trachurus trachurus","north-east",117145.17959
"SP21","Merluccius merluccius","north-east",104287.70204
"SP22","Reinhardtius hippoglossoides","north",101513.07221
"SP23","Pleuronectes platessa","north",86835.6177716667
"SP28","Thunnus obesus","pan-atlantic",64918.6496316667
"SP30","Trisopterus esmarkii","north-east",60514.0841933333
"SP31","Sebastes mentella","north",56008.1907516667
"SP34","Thunnus alalunga","pan-atlantic",49414.996975
"SP35","Molva molva","north",49576.89362
"SP36","Xiphias gladius","pan-atlantic",42352.004615
"SP37","Merlangius merlangus","north",35551.24068
"SP38","Trichiurus lepturus","pan-atlantic",36623.8392016667
"SP42","Solea solea","north-east",27365.0646516667
"SP50","Platichthys flesus","north-east",18028.947605
"SP53","Zeus faber","east",17388.9445616667
"SP61","Lophius piscatorius","north-east",14657.20591
"SP66","Coryphaena hippurus","pan-atlantic",13332.4201633333
"SP71","Conger conger","north-east",11363.9840583333
"SP76","Thunnus thynnus","pan-atlantic",9083.53082666667
